% Model,spaceplate_double_3d_TA.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 8 2025, 10:49"
% Table,Table 18 - Surface Average 5
% freq (Hz),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))
35500,0.07194391257307145,0.13942285835058418,0.14414235376157822,0.35560664530875447
35750,0.09550446713777744,6.601126138459609,6.433799011968543,0.5516470564877025
36000,0.017204295366427143,0.8885841638599815,0.9771826979798736,0.1079262318820866
36250,0.019048773181777626,0.01485153854601477,0.01570476070654645,0.06867976689768006
36500,0.09489798492091138,0.0020045765306243926,0.002093484444284756,0.0698996644004806
36750,0.01280955872665876,6.077724935588457E-4,6.30054272096787E-4,0.10015822850434875
37000,0.31600098059576476,3.0145025397165597E-4,3.1077113544450516E-4,0.2045477756594579
37250,0.10890853138332122,2.1789496058758484E-4,2.2357599468438675E-4,0.6666346721392942
37500,1.5107912193305792,2.214853390213674E-4,2.2626910411536195E-4,3.8134569698743954
37750,0.12661162996513697,3.2291674152853E-4,3.284195333206832E-4,9.555209788780688
38000,0.12286276041877488,7.416358320306582E-4,7.502757792554086E-4,2.7148039103704384
38250,0.3563489085768404,0.0035215497508577663,0.0035332509207105013,0.3056010756277286
38500,3.634759469629423,0.10057289091267796,0.09853330268768148,0.06321596126435265
38750,20.252372055849143,1.212924191027127,1.3039936964998613,0.01993242623220803
39000,0.27472734459237586,0.007392478631072671,0.007616793807671808,0.008198239756997235
39250,0.024326065859086202,9.492263737435576E-4,9.673276667764324E-4,0.00405166286078457
39500,0.005826826964786193,3.077811491373687E-4,3.116156042581707E-4,0.0022963960751924595
39750,0.0029415999212459836,1.66493916871522E-4,1.6768260897666735E-4,0.001450586992420176
40000,0.00990684996838014,1.3077768966957977E-4,1.3106814715111454E-4,0.0010024495440662795
