% Model,spaceplate_double_3d.mph
% Version,COMSOL 6.2.0.415
% Date,"Jul 21 2025, 16:13"
% Table,Table 3 - transmitted field
% freq (Hz),"theta0=0, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=5, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=10, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=15, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=20, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=25, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=30, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=35, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=40, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=45, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=50, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=55, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=60, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=65, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=70, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=75, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=80, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=85, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=90, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))"
22250,2.715689210565971E-4,2.7231404081401293E-4,2.729964356570421E-4,2.7538390017787303E-4,2.994085725337262E-4,3.3961086270455125E-4,2.970511587097435E-4,3.465711841820086E-4,3.901723802675475E-4,2.9459714447407063E-4,2.921443965530432E-4,5.6209265228060214E-5,3.0104409221214616E-4,0.01649200133757855,0.0416631287477511,0.017347696362197077,0.10355112018396889,0.291117639084649,0.01520818575996296
22500,3.9645583761288865E-4,3.994691140622804E-4,4.05475213603837E-4,4.118762232051536E-4,4.465569683859226E-4,5.438715672526529E-4,5.342755704396946E-4,6.117220080584495E-4,9.446163065270434E-4,8.761131070469489E-4,0.001991848495352061,0.0028535644054450385,0.010343161145415482,0.4717166029104799,0.38872718044009824,0.21423939107988238,0.2598548561429517,0.010820532018772576,0.04082935511376327
22750,5.909268776316083E-4,5.982329098632144E-4,6.160961220348245E-4,6.344712072267288E-4,6.831734744281491E-4,8.664981761211737E-4,9.802108095394787E-4,0.001102186070239171,0.00216823222383385,0.0024529415019626816,0.009570652903415031,0.033007421468468905,0.6127311563739337,0.21398599628227047,0.1641480779368004,0.18833131675724243,0.2897196459950647,0.07102512584392241,0.011601097627484373
23000,9.051343397090566E-4,9.200309168972143E-4,9.617959859959108E-4,0.0010121256138035837,0.0010884401068873022,0.0013973004299896387,0.0018347473924707918,0.0021003026862829737,0.00491050966550254,0.007409959318380317,0.05055096148537595,1.045481266526636,0.15475541021611736,0.197122346256641,0.0317152201712096,0.05839254692611176,0.4173423722566496,0.08097871129380817,0.02157531038989313
23250,0.0014363388770155848,0.0014644438790707408,0.001552069761112028,0.0016798089491832095,0.0018290598979976568,0.0023364389991690896,0.0035191185113619934,0.004363099244142524,0.011617116236421502,0.02783717952456336,0.4929654361492212,0.1730296444363962,0.10106254057325419,0.13396308223188977,0.06588138352382257,0.021557559182964467,0.44047064378106515,0.04628879345733378,0.08271748250223818
23500,0.0023867212852428203,0.002438706264824024,0.002614339493847828,0.002920241955558005,0.0032795887420440915,0.004165585766628792,0.007028325066669175,0.010226991751618671,0.0314732155450035,0.17448468482123666,0.5681207141950702,0.11774637981709056,0.07308637038460071,0.23294009121052764,0.12536364978251877,0.033279736720368415,0.45896394797523316,0.03690675474108552,0.05294156145195985
23750,0.004214437495248016,0.004313936947721946,0.004667968063622112,0.005383728375330389,0.006361396515612464,0.008177371028021203,0.015135322342572016,0.028581014590787695,0.11581294526607475,1.0634896198483412,0.1870917842026215,0.09104749611732649,0.18299592476686644,0.1464664412488418,0.12346486326372991,0.11074109365523434,0.4746013120907268,0.07981939325767963,0.031652459622943864
24000,0.008079600914917827,0.008289146541326807,0.009049787342932153,0.010767333177010325,0.013644029882408024,0.0184393012281556,0.03749729842894951,0.10623431369167825,0.7132458930152953,0.2948156461255894,0.13408664382606922,0.23644956879634219,0.12779800058989527,0.0816163278137659,0.05144403768112841,0.16406747450714995,0.34067148548388626,0.17178517310909253,0.017154129642352932
24250,0.017391450814817286,0.01791353636412922,0.019793141291692594,0.024329241586671466,0.033706260071991734,0.051093391408670995,0.12030430928552056,0.586712898340474,0.6379796152315781,0.16491544580582698,0.7533811475651871,0.043542459900589296,0.05265812559489624,0.08395115163283684,0.021058784662842934,0.15505072122399932,0.1987670581993053,0.26694836522585724,0.00720541754027485
24500,0.0444914256814205,0.046169415368424185,0.052097537052568754,0.06680314119714423,0.10369503956417774,0.19496333959655654,0.5635646260147218,0.8629320146520982,0.2533462324424427,0.14957877526278382,0.09782547112705103,0.036298639557501226,0.09025522440364471,0.12424811666808187,0.02364153908735115,0.12615686824879158,0.19744810097060508,0.2715718292765747,0.0023522104842970976
